,Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
0,1895,6,1,13,27,88,225,256,282,190,31,9,3
1,1896,4,4,10,44,161,220,319,299,136,38,19,4
2,1897,3,9,28,29,82,205,333,261,161,56,13,5
3,1898,9,5,20,23,106,235,321,298,176,38,10,3
4,1899,7,5,17,22,125,235,302,296,141,54,11,4
5,1900,5,5,13,26,102,220,317,331,188,73,12,4
6,1901,6,3,10,14,89,227,392,302,134,49,6,3
7,1902,3,2,15,30,130,205,297,258,127,50,21,6
8,1903,6,8,22,20,90,135,284,250,127,37,8,2
9,1904,4,9,24,25,90,189,260,243,158,46,7,4
10,1905,3,5,22,27,113,206,286,273,167,46,14,4
11,1906,6,5,8,31,92,208,287,300,187,34,13,6
12,1907,16,6,41,20,63,153,299,251,153,41,10,5
13,1908,6,4,31,49,98,193,315,255,150,29,12,9
14,1909,12,7,16,30,80,215,274,284,133,40,20,2
15,1910,5,4,26,25,78,170,317,262,171,50,8,2
16,1911,12,10,20,32,119,245,312,269,192,56,11,8
17,1912,5,2,12,34,108,164,292,240,162,52,8,8
18,1913,14,7,16,20,89,195,320,300,130,31,16,5
19,1914,6,5,6,27,100,240,309,276,132,47,11,5
20,1915,5,5,2,26,92,176,271,235,164,55,14,3
21,1916,14,5,14,20,106,163,334,290,126,41,9,5
22,1917,10,5,16,24,46,187,319,265,125,34,6,2
23,1918,2,10,26,22,119,229,271,321,102,66,8,5
24,1919,4,5,14,25,82,222,321,262,154,86,15,5
25,1920,7,4,9,25,85,184,272,250,163,44,8,4
26,1921,10,7,37,26,85,242,363,266,219,46,18,9
27,1922,5,10,14,37,115,231,298,270,184,50,14,11
28,1923,12,6,14,29,82,215,291,262,156,32,6,10
29,1924,6,3,5,26,69,210,264,287,117,44,13,7
30,1925,9,9,18,45,77,263,318,267,212,42,9,4
31,1926,4,6,7,20,91,181,299,297,171,60,8,8
32,1927,7,16,13,42,109,170,293,214,163,58,22,4
33,1928,4,7,17,18,86,165,311,300,122,62,9,4
34,1929,9,7,23,42,87,187,296,270,147,44,13,4
35,1930,8,11,7,38,98,204,346,286,183,33,8,2
36,1931,3,5,4,18,76,232,386,283,219,69,19,16
37,1932,15,17,7,29,90,219,325,294,150,40,7,8
38,1933,13,8,14,27,126,251,328,277,207,61,10,12
39,1934,8,4,14,36,123,270,384,293,157,63,14,5
40,1935,8,5,27,30,79,186,346,305,137,53,10,1
41,1936,6,4,18,25,120,227,371,343,186,48,9,7
42,1937,21,6,7,25,104,222,321,342,144,42,7,4
43,1938,6,10,30,26,97,190,314,332,160,51,12,4
44,1939,9,11,20,32,111,234,320,300,199,59,8,5
45,1940,1,3,12,23,82,209,303,263,125,48,9,9
46,1941,6,3,5,30,113,201,322,279,173,80,11,9
47,1942,4,2,10,27,96,214,327,264,133,47,15,7
48,1943,8,5,10,33,110,264,324,310,131,33,8,4
49,1944,5,12,16,27,121,237,306,297,160,42,9,3
50,1945,5,9,35,37,71,187,291,271,181,43,13,4
51,1946,7,7,24,42,86,191,303,240,150,52,20,10
52,1947,13,2,6,40,91,184,270,341,178,84,13,7
53,1948,4,9,20,47,97,210,314,279,152,38,19,12
54,1949,13,14,13,27,110,242,354,280,132,63,11,9
55,1950,23,11,12,21,106,197,263,238,125,72,9,3
56,1951,6,5,14,22,95,194,314,287,155,59,7,10
57,1952,14,7,14,19,96,270,355,294,152,37,10,4
58,1953,9,7,25,26,118,254,330,279,161,51,10,6
59,1954,9,10,10,54,67,232,349,288,189,55,9,3
60,1955,5,6,19,44,119,155,362,337,175,46,10,6
61,1956,3,11,13,23,115,225,292,279,148,60,8,10
62,1957,11,16,11,32,96,233,328,266,149,29,13,5
63,1958,2,1,7,27,102,187,308,296,161,47,18,5
64,1959,5,12,11,30,127,221,319,328,169,61,11,5
65,1960,6,4,6,36,76,212,298,291,173,57,15,3
66,1961,3,8,21,20,75,190,300,277,174,43,12,6
67,1962,6,14,8,26,142,198,275,284,137,61,7,2
68,1963,4,4,22,43,98,207,302,264,152,74,11,1
69,1964,5,3,14,38,113,209,322,252,141,40,17,8
70,1965,7,7,10,42,123,173,278,268,149,45,20,6
71,1966,4,5,11,29,85,192,344,266,130,41,12,4
72,1967,8,5,24,49,75,199,277,250,116,42,13,9
73,1968,5,2,8,33,78,200,300,282,138,49,7,3
74,1969,6,3,4,34,94,196,330,295,148,47,8,4
75,1970,2,3,10,37,103,195,317,304,178,45,6,9
76,1971,7,7,10,23,71,235,285,262,173,69,13,16
77,1972,14,6,22,37,88,173,295,269,165,44,10,8
78,1973,6,3,24,18,78,228,313,293,163,61,22,4
79,1974,20,6,29,30,106,172,311,260,120,39,10,5
80,1975,12,11,14,26,117,200,295,289,122,52,12,5
81,1976,4,10,23,28,68,201,281,239,125,25,8,4
82,1977,1,4,22,35,119,213,347,292,179,43,16,5
83,1978,2,1,10,32,96,216,311,295,176,51,20,9
84,1979,4,4,14,33,83,184,293,261,156,52,12,6
85,1980,7,3,14,23,96,199,372,338,190,41,11,4
86,1981,2,6,10,52,77,253,330,272,137,43,12,4
87,1982,6,11,22,28,114,166,313,261,138,44,16,11
88,1983,5,5,9,14,75,188,344,353,167,56,13,6
89,1984,4,6,14,25,96,229,292,307,142,66,10,15
90,1985,2,6,23,39,111,197,312,267,141,67,27,4
91,1986,7,10,17,34,106,230,338,261,159,50,25,9
92,1987,5,7,13,22,127,240,329,299,155,40,15,8
93,1988,5,5,13,28,91,215,356,343,150,46,20,6
94,1989,15,7,20,37,93,207,314,264,138,48,17,2
95,1990,15,15,21,30,91,233,315,289,171,55,18,10
96,1991,11,10,21,45,147,230,333,300,151,62,9,10
97,1992,6,10,16,29,80,171,288,231,152,49,14,8
98,1993,13,6,12,19,92,205,342,312,148,47,12,4
99,1994,7,10,19,39,80,260,325,264,139,49,23,10
100,1995,6,8,19,30,97,198,345,358,152,61,13,5
101,1996,6,6,8,27,124,226,306,288,138,46,15,7
102,1997,8,11,32,20,87,187,314,270,172,47,11,6
103,1998,12,7,11,24,139,230,353,339,213,62,22,12
104,1999,12,12,13,44,98,217,367,307,154,57,19,6
105,2000,9,11,28,30,139,223,290,306,159,50,9,4
106,2001,3,13,13,41,121,223,306,334,141,47,21,12
107,2002,9,6,18,54,92,239,365,325,198,57,11,5
108,2003,4,8,25,31,110,185,335,338,154,64,22,4
109,2004,7,7,29,28,136,205,297,250,172,68,18,5
110,2005,11,8,13,24,83,245,367,346,211,55,20,5
111,2006,14,5,21,55,109,234,383,331,135,46,14,12
112,2007,10,6,31,24,117,232,308,363,187,80,17,13
113,2008,7,12,18,31,93,262,331,281,170,48,12,8
114,2009,7,8,19,30,118,221,286,303,168,47,17,7
115,2010,3,2,7,35,127,282,375,351,194,53,13,2
116,2011,5,8,24,53,105,259,404,349,174,48,17,10
117,2012,11,12,48,47,154,232,402,327,172,53,12,10
118,2013,14,10,10,32,98,243,337,286,175,54,16,12
119,2014,6,11,14,35,111,240,298,289,179,71,9,9
120,2015,8,6,28,51,123,252,333,312,220,73,27,24
121,2016,6,10,33,40,94,268,381,360,216,82,23,15
122,2017,15,20,29,53,102,237,359,287,179,73,25,8
