Year,Yearly Mean Total Sunspots,Yearly Mean SD,Number of Observations,Definitive/Provisional
1895,106.6,9.2,365,1
1896,69.4,7.4,366,1
1897,43.8,5.9,365,1
1898,44.4,6.0,365,1
1899,20.2,4.1,365,1
1900,15.7,3.8,365,1
1901,4.6,2.6,365,1
1902,8.5,3.1,365,1
1903,40.8,5.7,365,1
1904,70.1,7.5,366,1
1905,105.5,9.2,365,1
1906,90.1,8.5,365,1
1907,102.8,9.0,365,1
1908,80.9,8.0,366,1
1909,73.2,7.6,365,1
1910,30.9,5.0,365,1
1911,9.5,3.1,365,1
1912,6.0,2.7,366,1
1913,2.4,2.3,365,1
1914,16.1,3.8,365,1
1915,79.0,7.9,365,1
1916,95.0,8.7,366,1
1917,173.6,11.8,365,1
1918,134.6,10.3,365,1
1919,105.7,9.2,365,1
1920,62.7,7.1,366,1
1921,43.5,5.9,365,1
1922,23.7,4.5,365,1
1923,9.7,3.1,365,1
1924,27.9,4.8,366,1
1925,74.0,7.7,365,1
1926,106.5,9.2,365,1
1927,114.7,9.5,365,1
1928,129.7,10.2,366,1
1929,108.2,9.3,365,1
1930,59.4,6.9,365,1
1931,35.1,5.3,365,1
1932,18.6,4.0,366,1
1933,9.2,3.2,365,1
1934,14.6,3.6,365,1
1935,60.2,6.9,365,1
1936,132.8,10.3,366,1
1937,190.6,12.3,365,1
1938,182.6,12.1,365,1
1939,148.0,10.8,365,1
1940,113.0,9.5,366,1
1941,79.2,7.9,365,1
1942,50.8,6.4,365,1
1943,27.1,4.7,365,1
1944,16.1,3.8,366,1
1945,55.3,6.6,365,1
1946,154.3,11.1,365,1
1947,214.7,9.8,365,1
1948,193.0,9.3,366,1
1949,190.7,9.2,365,1
1950,118.9,7.3,365,1
1951,98.3,6.6,365,1
1952,45.0,4.5,366,1
1953,20.1,3.0,365,1
1954,6.6,1.7,365,1
1955,54.2,4.9,365,1
1956,200.7,9.5,366,1
1957,269.3,11.0,365,1
1958,261.7,10.8,365,1
1959,225.1,10.0,365,1
1960,159.0,8.4,366,1
1961,76.4,5.8,365,1
1962,53.4,4.9,365,1
1963,39.9,4.2,365,1
1964,15.0,2.6,366,1
1965,22.0,3.2,365,1
1966,66.8,5.4,365,1
1967,132.9,7.7,365,1
1968,150.0,8.2,366,1
1969,149.4,8.2,365,1
1970,148.0,8.1,365,1
1971,94.4,6.5,365,1
1972,97.6,6.6,366,1
1973,54.1,4.9,365,1
1974,49.2,4.7,365,1
1975,22.5,3.2,365,1
1976,18.4,2.9,366,1
1977,39.3,4.2,365,1
1978,131.0,7.6,365,1
1979,220.1,9.9,365,1
1980,218.9,9.9,366,1
1981,198.9,13.1,3049,1
1982,162.4,12.1,3436,1
1983,91.0,7.6,4216,1
1984,60.5,5.9,5103,1
1985,20.6,3.7,5543,1
1986,14.8,3.5,5934,1
1987,33.9,3.7,6396,1
1988,123.0,8.4,6556,1
1989,211.1,12.8,6932,1
1990,191.8,11.2,7108,1
1991,203.3,12.7,6932,1
1992,133.0,8.9,7845,1
1993,76.1,5.8,8010,1
1994,44.9,4.4,8524,1
1995,25.1,3.7,8429,1
1996,11.6,3.1,7614,1
1997,28.9,3.6,7294,1
1998,88.3,6.6,6353,1
1999,136.3,9.3,6413,1
2000,173.9,10.1,5953,1
2001,170.4,10.5,6558,1
2002,163.6,9.8,6588,1
2003,99.3,7.1,7087,1
2004,65.3,5.9,6882,1
2005,45.8,4.7,7084,1
2006,24.7,3.5,6370,1
2007,12.6,2.7,6841,1
2008,4.2,2.5,6644,1
2009,4.8,2.5,6465,1
2010,24.9,3.4,6328,1
2011,80.8,6.7,6077,1
2012,84.5,6.7,5753,1
2013,94.0,6.9,5347,1
2014,113.3,8.0,5273,1
2015,69.8,6.4,8903,1
2016,39.8,3.9,9940,1
2017,21.7,2.5,11444,1
