Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1895,26.69,26.6,39.97,52.9,59.94,67.8,71.24,71.62,65.57,50.85,39.16,31.71
1896,31.48,35.04,38.03,52.34,62.46,69.89,73.69,72.27,62.94,51.91,38.32,35.55
1897,28.17,33.39,38.79,51.15,61.18,68.11,73.36,71.35,66.4,55.11,40.91,30.76
1898,30.67,35.37,41.05,50.79,59.94,69.31,73.29,72.75,65.46,51.49,38.39,28.67
1899,29.68,25.5,37.63,50.61,59.9,68.65,73.08,71.74,64.8,53.98,44.92,31.62
1900,34.11,30.76,41.27,51.6,61.74,70.3,73.13,72.86,65.14,56.35,41.54,34.48
1901,31.62,29.86,40.71,49.39,61.18,68.43,76.24,73.2,63.25,55.45,41.68,31.48
1902,30.06,31.46,41.58,50.85,61.99,68.04,72.05,71.37,62.76,54.43,43.68,30.79
1903,30.88,28.42,42.21,50.22,59.54,65.89,71.92,70.97,62.73,53.94,40.23,30.54
1904,27.55,31.59,41.76,49.46,60.13,67.26,71.35,70.72,64.96,53.92,43.14,32.02
1905,27.1,26.94,45.12,50.49,59.14,68.0,71.98,72.37,65.95,51.64,42.24,30.99
1906,32.88,33.69,36.1,52.72,59.58,67.32,72.36,71.85,66.25,52.54,40.44,34.97
1907,30.69,35.46,45.7,47.53,55.89,65.7,72.52,70.79,64.22,53.78,40.82,34.7
1908,32.45,33.01,43.92,52.75,58.82,66.92,73.18,70.68,65.59,51.76,42.53,33.31
1909,32.31,35.02,40.35,48.96,58.14,68.94,72.63,72.93,64.4,52.88,45.03,25.61
1910,29.61,29.3,49.44,53.62,59.22,68.29,74.12,71.11,65.68,55.62,41.13,31.93
1911,32.9,33.66,44.02,50.0,61.21,70.75,72.68,70.9,66.09,52.66,37.27,32.2
1912,24.76,31.08,35.76,50.58,60.48,66.7,72.25,70.12,62.73,53.17,42.21,32.95
1913,30.47,29.5,38.71,51.39,60.13,68.22,73.0,73.36,63.64,51.64,45.12,33.33
1914,34.5,29.52,40.75,51.04,61.14,69.35,74.08,71.69,64.58,55.24,43.41,26.78
1915,28.44,35.94,36.95,54.57,58.17,66.07,71.01,70.16,64.42,55.35,43.11,33.17
1916,28.22,33.03,42.15,50.25,59.31,66.31,74.28,71.82,63.5,52.14,40.23,28.94
1917,28.27,30.09,38.35,48.63,55.13,66.97,74.61,71.02,64.09,50.41,43.54,29.64
1918,23.86,33.82,45.75,49.03,60.8,71.15,72.45,72.5,61.92,56.17,40.51,34.45
1919,31.82,32.25,40.89,51.35,60.03,69.3,74.35,72.27,65.64,52.59,39.31,28.78
1920,29.23,33.69,40.28,46.78,59.31,67.37,72.7,70.63,65.44,54.63,39.7,33.13
1921,34.36,36.9,46.63,51.01,60.1,70.36,74.66,72.03,66.54,55.35,42.58,35.08
1922,26.8,31.95,40.42,50.31,61.18,70.14,73.0,72.81,67.28,55.02,41.86,33.55
1923,34.59,29.57,38.3,49.91,59.52,68.04,73.76,71.11,65.07,51.24,42.58,35.98
1924,26.26,35.19,37.18,50.27,57.9,68.59,71.89,72.07,62.74,54.97,42.4,27.59
1925,29.08,38.3,44.24,54.72,60.01,69.84,74.14,71.4,66.67,48.92,40.41,32.5
1926,30.31,37.67,39.65,50.04,61.02,68.2,73.36,72.34,64.11,54.95,40.46,31.33
1927,31.55,37.9,42.26,51.58,59.76,67.21,72.68,69.37,64.98,55.9,44.35,28.22
1928,31.98,34.34,43.12,48.06,61.52,65.91,73.4,71.82,63.27,55.08,41.58,32.94
1929,26.31,26.92,43.56,51.17,58.86,67.5,73.6,72.63,63.41,53.92,38.41,33.96
1930,23.54,40.1,40.41,54.41,59.23,68.41,75.04,72.9,65.75,51.69,41.09,31.17
1931,32.99,37.94,39.42,51.06,59.43,70.7,75.81,71.96,68.13,56.57,43.38,35.06
1932,31.55,36.7,37.36,51.6,60.51,69.24,74.1,72.57,64.69,52.32,40.75,29.41
1933,34.3,29.59,41.83,49.84,59.83,71.56,75.13,71.92,67.73,55.2,42.53,36.43
1934,35.08,34.32,42.78,53.74,64.71,70.68,76.37,73.53,63.84,56.52,45.01,32.67
1935,31.51,36.01,43.61,49.71,57.33,67.64,75.13,72.99,64.8,53.8,39.49,30.74
1936,27.36,25.23,43.43,50.22,63.46,70.61,76.8,74.59,66.36,53.49,39.81,34.47
