Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1895,36.86,37.65,52.07,66.33,72.81,80.89,83.91,84.9,78.73,64.54,50.09,42.08
1896,41.41,46.56,49.42,64.38,74.77,83.26,86.0,85.39,75.27,64.11,48.47,45.79
1897,37.65,43.29,49.32,63.43,74.61,80.91,86.41,84.49,80.02,67.68,52.32,40.62
1898,40.77,46.76,52.36,63.54,72.05,81.97,86.25,85.5,78.69,63.41,49.48,38.93
1899,39.88,36.36,48.87,62.98,72.23,81.54,86.25,84.76,78.96,65.91,55.9,41.52
1900,44.26,42.15,53.01,63.36,74.89,83.53,86.16,85.84,77.0,67.91,52.27,44.67
1901,42.17,40.24,52.45,61.66,74.1,81.41,89.96,86.14,75.7,68.5,53.37,41.95
1902,40.93,41.86,52.34,63.39,74.41,81.18,84.97,84.42,75.97,67.3,53.55,40.19
1903,40.77,39.2,52.59,62.46,71.91,78.1,84.79,83.46,75.67,67.23,51.71,42.01
1904,38.77,43.3,52.97,61.9,73.02,79.93,84.16,83.55,77.74,66.61,56.16,42.51
1905,36.82,37.35,55.9,62.37,70.81,80.38,84.58,85.33,78.85,63.81,53.4,40.91
1906,43.38,44.94,46.29,65.34,71.98,79.97,85.15,84.07,78.78,65.03,50.72,44.24
1907,40.46,47.07,57.11,59.52,68.14,78.17,85.24,83.57,77.13,66.36,51.87,44.62
1908,43.29,43.52,55.81,65.68,70.97,79.57,86.18,83.39,79.5,64.47,54.46,43.39
1909,42.39,46.15,51.35,61.5,71.04,81.46,85.24,86.07,77.32,66.31,56.32,34.79
1910,39.81,40.8,63.1,67.42,72.43,81.9,87.64,84.49,78.51,69.03,52.07,41.97
1911,43.41,44.08,56.3,62.11,74.73,84.25,85.8,84.02,78.35,64.29,48.47,41.81
1912,35.38,41.99,46.2,62.28,73.06,79.7,84.6,82.35,75.0,65.52,54.09,43.45
1913,41.45,40.41,50.27,64.45,73.24,81.14,86.02,86.95,76.41,63.61,55.27,42.51
1914,44.49,40.82,52.56,62.94,74.05,81.99,87.28,84.69,77.61,66.97,55.9,35.62
1915,38.52,45.54,47.39,67.08,69.76,78.71,83.26,82.9,76.53,68.9,54.72,43.23
1916,38.28,44.38,54.63,62.49,72.21,79.2,87.1,84.72,77.02,64.83,52.66,39.87
1917,39.0,41.9,50.04,60.46,67.24,80.78,88.0,84.49,77.07,64.35,56.03,40.62
1918,34.47,45.88,58.3,61.3,73.81,84.67,85.78,85.78,75.07,67.75,50.58,43.74
1919,42.73,42.15,52.18,63.55,72.61,82.42,87.53,85.66,78.37,63.43,49.96,39.18
1920,39.31,44.06,51.91,58.12,71.78,80.04,86.04,83.32,78.17,67.1,49.78,42.73
1921,44.47,48.29,58.57,63.73,72.54,82.98,87.6,85.03,79.38,69.33,54.23,45.36
1922,37.24,42.91,51.48,61.83,73.72,83.35,86.13,86.04,81.5,68.68,52.11,43.61
1923,45.09,40.77,50.49,62.02,72.3,80.35,86.58,83.79,77.49,62.74,53.67,45.63
1924,37.69,46.15,47.21,62.8,71.29,81.91,85.39,85.82,76.1,68.45,54.34,37.85
1925,39.87,49.75,57.13,67.66,73.65,82.69,87.44,84.96,79.03,59.56,51.46,42.26
1926,40.48,48.56,51.21,62.69,74.43,81.79,86.83,85.1,76.28,67.08,51.17,40.87
1927,41.88,48.29,53.26,63.54,71.96,79.56,85.87,82.04,77.45,69.57,54.91,38.61
1928,42.84,45.3,54.86,60.49,75.06,77.97,86.14,84.83,77.02,67.39,51.78,43.38
1929,37.13,37.87,54.97,63.07,71.64,80.74,86.92,86.47,75.83,66.45,49.28,44.69
1930,33.78,51.64,52.2,67.75,71.51,82.11,89.13,86.52,78.93,63.34,52.38,41.0
1931,43.63,48.51,50.49,64.11,72.88,84.24,89.53,85.19,81.25,69.3,54.25,44.26
1932,41.07,47.61,48.36,64.18,73.4,82.11,87.4,85.78,78.42,64.74,52.61,39.49
1933,44.92,41.4,53.28,62.35,71.92,85.95,88.75,84.94,80.71,68.58,54.7,47.39
1934,45.7,46.2,55.94,67.15,79.25,84.36,90.55,87.01,76.93,69.75,55.89,42.42
1935,42.17,47.01,55.02,61.02,68.92,80.46,88.34,86.14,78.24,66.88,49.69,40.23
1936,37.56,36.25,55.51,63.3,77.14,84.6,90.84,88.32,79.29,66.13,51.94,44.35
1937,34.93,42.49,49.73,62.22,75.38,81.43,87.87,88.23,79.11,66.29,51.64,41.95
1938,42.13,46.22,56.17,64.06,72.07,81.54,86.65,87.31,79.99,70.0,51.89,44.56
1939,44.02,41.58,54.79,64.56,76.46,81.55,88.59,86.4,81.23,67.93,54.93,48.83
1940,33.57,43.43,52.92,62.19,74.55,82.98,87.58,85.24,78.15,69.24,49.28,45.66
1941,41.56,43.63,50.31,63.63,75.25,79.83,86.92,84.74,76.91,66.16,54.41,45.66
1942,40.82,41.0,52.93,65.84,71.55,80.28,87.31,84.56,76.82,67.44,54.75,42.84
1943,40.35,48.94,50.7,66.0,72.21,81.01,87.75,86.99,78.37,66.96,52.93,42.93
1944,42.91,45.09,49.77,60.78,74.98,80.92,86.58,85.57,78.4,69.33,50.88,40.71
1945,40.46,45.79,57.51,62.55,71.17,78.26,86.07,85.28,77.95,67.12,53.29,38.84
1946,41.95,47.25,58.86,68.04,71.26,81.59,87.15,84.2,77.43,65.08,52.18,46.78
1947,42.31,43.11,50.13,63.01,73.2,78.85,86.5,87.24,80.22,71.42,47.52,42.96
1948,38.98,42.48,50.02,66.04,73.2,81.54,86.32,85.51,80.04,66.99,52.18,42.75
1949,35.73,42.93,51.73,65.1,74.55,81.95,87.1,85.66,77.09,65.97,58.44,44.11
1950,41.32,47.1,50.52,61.18,72.27,81.16,83.62,83.53,75.52,70.72,52.65,43.75
1951,41.14,46.08,50.09,62.06,74.01,79.32,86.9,84.87,77.43,66.0,48.96,41.38
1952,42.28,46.22,48.24,64.53,73.71,84.04,87.85,86.16,80.42,68.67,51.46,42.76
1953,46.85,47.21,55.35,60.76,71.35,83.37,87.46,85.59,81.37,70.34,55.58,43.95
1954,41.74,53.85,50.74,67.21,71.46,81.86,89.29,85.33,80.11,67.23,56.07,44.47
1955,39.27,42.39,52.34,65.59,74.26,79.41,87.24,87.21,79.56,68.72,49.69,41.88
1956,41.14,43.23,53.49,62.13,74.66,83.97,86.2,85.3,79.93,69.42,52.29,47.26
1957,37.17,48.54,52.0,62.1,71.19,81.0,87.53,84.81,77.38,62.24,49.86,47.77
1958,41.79,42.1,46.78,62.04,76.03,80.53,85.06,86.65,77.95,67.86,54.61,43.34
1959,40.46,43.23,53.78,64.51,73.13,83.01,87.08,86.0,77.05,64.85,50.74,45.93
1960,38.75,40.46,47.21,65.32,72.41,82.38,87.49,85.28,79.81,67.28,54.05,40.69
1961,41.25,48.51,54.41,61.0,71.69,83.03,86.29,85.53,75.67,66.97,50.81,40.69
1962,37.83,45.68,48.9,64.98,74.91,80.64,84.97,86.02,77.05,68.45,54.01,44.1
1963,35.91,46.18,56.1,64.15,73.96,81.36,86.85,84.94,79.27,73.47,55.31,38.32
1964,42.89,43.39,50.86,63.41,74.43,80.69,87.91,83.62,76.59,67.93,53.53,41.72
1965,42.35,44.22,46.6,63.54,73.4,79.07,85.42,83.77,73.31,68.77,55.49,45.72
1966,36.37,41.9,55.51,62.38,73.81,81.18,88.41,83.59,77.13,66.33,54.48,42.6
1967,43.88,44.98,55.81,62.82,70.48,79.52,85.26,84.65,77.02,67.08,52.63,41.79
1968,39.29,43.84,55.96,63.19,70.63,81.34,85.78,82.72,77.14,67.5,50.95,40.15
1969,38.91,42.48,47.52,65.28,74.71,79.14,86.77,86.88,78.22,62.1,53.2,43.11
1970,37.26,47.37,49.3,61.38,74.41,81.55,87.21,86.86,77.27,64.06,51.82,44.1
1971,39.99,44.6,51.57,63.48,71.19,82.36,85.51,85.05,76.64,66.63,52.16,43.23
1972,40.95,45.25,56.66,63.46,73.44,81.07,84.94,84.4,76.62,63.41,47.41,39.4
1973,39.34,44.04,54.27,60.24,72.21,81.82,86.18,85.71,76.35,68.83,53.02,43.77
1974,40.69,46.76,55.92,64.29,72.9,82.15,87.49,83.03,75.36,66.96,52.95,43.3
1975,42.87,43.07,49.5,58.08,72.93,79.88,86.13,84.25,75.78,67.57,54.19,44.55
1976,41.47,51.62,54.41,64.58,72.25,80.94,85.86,83.97,77.2,62.76,50.59,43.16
1977,33.66,48.51,54.97,67.59,74.1,83.55,87.49,84.02,77.77,66.69,53.38,43.25
1978,34.84,37.83,52.7,63.41,71.87,82.09,86.92,84.83,78.28,68.36,51.84,40.24
1979,31.26,38.68,53.08,61.77,71.47,81.07,85.77,83.26,79.83,68.4,50.83,47.14
1980,40.37,43.3,50.4,64.44,72.73,82.06,89.53,85.8,79.11,65.68,53.64,46.17
1981,43.54,48.45,54.66,67.89,71.1,82.26,86.54,84.96,78.08,63.68,56.25,43.45
1982,37.33,43.38,52.83,60.96,73.15,78.58,85.62,84.56,76.03,65.35,51.17,45.05
1983,42.35,46.53,52.03,58.21,70.54,79.65,86.97,87.96,78.73,66.69,52.77,34.43
1984,38.97,48.85,50.99,61.23,72.97,81.14,86.07,85.86,76.01,64.22,52.25,44.46
1985,36.43,41.68,54.93,67.42,75.16,81.28,87.33,83.84,74.5,65.75,48.79,39.47
1986,46.04,45.95,58.59,65.44,73.72,83.16,86.09,84.58,74.59,65.59,51.33,43.72
1987,41.52,47.62,53.87,67.66,75.36,83.28,85.82,84.6,78.71,66.9,54.81,43.92
1988,38.14,45.64,54.91,65.28,74.95,85.03,88.18,86.86,77.61,67.01,54.05,44.51
1989,45.14,39.54,54.46,65.93,73.17,80.6,87.03,83.61,76.95,67.51,54.82,38.89
1990,47.16,48.15,56.12,64.99,70.9,83.25,85.75,84.9,80.37,67.23,56.89,41.86
1991,39.25,51.6,54.73,64.4,73.54,81.3,86.63,85.71,77.56,68.09,49.46,45.37
1992,43.52,50.07,56.35,64.96,74.28,79.77,83.03,82.35,77.52,67.6,49.19,40.87
1993,39.61,41.31,52.57,61.84,73.38,79.27,84.02,84.22,76.32,65.34,50.29,44.02
