Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1895,16.52,15.57,27.86,39.45,47.05,54.72,58.55,58.32,52.38,37.15,28.24,21.33
1896,21.52,23.52,26.62,40.32,50.14,56.52,61.34,59.13,50.59,39.69,28.17,25.32
1897,18.66,23.49,28.27,38.88,47.71,55.31,60.3,58.19,52.77,42.51,29.48,20.88
1898,20.57,23.97,29.75,38.05,47.82,56.66,60.31,59.99,52.23,39.54,27.28,18.41
1899,19.49,14.65,26.38,38.23,47.57,55.74,59.88,58.69,50.61,42.04,33.94,21.72
1900,23.94,19.36,29.53,39.87,48.58,57.06,60.12,59.88,53.26,44.8,30.81,24.3
1901,21.09,19.49,28.98,37.09,48.22,55.44,62.55,60.24,50.79,42.39,30.0,20.98
1902,19.18,21.06,30.79,38.3,49.57,54.88,59.11,58.3,49.53,41.56,33.82,21.4
1903,21.0,17.62,31.8,37.94,47.17,53.65,59.07,58.46,49.78,40.64,28.74,19.09
1904,16.34,19.87,30.54,37.0,47.26,54.57,58.53,57.87,52.16,41.23,30.13,21.52
1905,17.4,16.56,34.34,38.59,47.48,55.62,59.36,59.41,53.04,39.47,31.06,21.07
1906,22.37,22.42,25.9,40.1,47.17,54.66,59.56,59.61,53.71,40.05,30.16,25.7
1907,20.93,23.85,34.29,35.55,43.63,53.2,59.76,57.97,51.31,41.22,29.77,24.76
1908,21.61,22.48,32.02,39.79,46.65,54.25,60.19,57.96,51.66,39.06,30.6,23.23
1909,22.24,23.9,29.37,36.41,45.23,56.41,60.01,59.77,51.46,39.45,33.75,16.45
1910,19.4,17.82,35.76,39.81,45.97,54.66,60.6,57.72,52.83,42.19,30.18,21.87
1911,22.41,23.25,31.75,37.87,47.66,57.25,59.54,57.78,53.83,41.04,26.08,22.6
1912,14.14,20.19,25.34,38.86,47.89,53.71,59.9,57.9,50.43,40.8,30.31,22.46
1913,19.49,18.59,27.14,38.32,47.01,55.31,59.99,59.77,50.88,39.65,34.95,24.15
1914,24.51,18.21,28.94,39.13,48.24,56.7,60.91,58.69,51.53,43.5,30.9,17.96
1915,18.37,26.33,26.49,42.06,46.56,53.42,58.73,57.43,52.3,41.77,31.48,23.11
1916,18.18,21.67,29.68,38.01,46.4,53.4,61.45,58.89,49.96,39.43,27.79,18.0
