Year        DJF     MAM     JJA     SON

1878      -99.9    12.4    20.4    12.3
1879        3.2    10.1    17.0    11.4
1880        5.1    12.2    19.1    12.4
1881        4.7    12.4    18.8    12.8
1882        7.4    13.4    18.4    12.6
1883        7.5    11.3    19.0    12.8
1884        7.9    12.6    20.7    13.2
1885        6.8    11.2    19.4    11.8
1886        4.9    11.1    19.6    13.5
1887        5.6    10.3    21.7    11.0
1888        5.0    10.3    17.5    12.7
1889        6.4    11.8    19.5    12.6
1890        6.8    12.5    18.0    13.6
1891        4.5    10.3    18.7    13.1
1892        6.0    11.8    18.5    11.9
1893        5.4    15.7    21.2    12.9
1894        7.2    12.8    18.3    12.5
1895        3.8    12.8    19.7    13.8
1896        6.9    13.4    20.1    11.1
1897        6.0    11.6    20.4    13.2
1898        7.9    11.4    19.6    14.6
1899        8.6    11.6    22.2    13.7
1900        5.6    11.3    20.2    13.7
1901        6.8    12.3    20.5    12.9
1902        5.8    11.6    18.4    12.7
1903        7.6    11.9    18.1    13.0
1904        5.7    11.4    19.7    12.7
1905        6.7    12.1    19.8    11.4
1906        6.9    11.7    20.4    14.2
1907        5.8    12.3    17.4    13.5
1908        6.8    11.2    19.4    14.0
1909        6.2    12.4    17.8    12.1
1910        7.0    12.2    18.5    12.0
1911        7.5    12.3    22.1    13.4
1912        7.6    13.4    17.8    12.1
1913        8.1    12.3    19.0    14.5
1914        7.8    13.2    20.0    13.9
1915        6.8    12.2    19.2    12.1
1916        8.3    11.6    18.8    13.3
1917        3.8    11.3    19.8    13.2
1918        6.9    12.7    19.6    12.1
1919        6.3    12.1    19.2    11.4
1920        8.5    12.6    17.8    13.6
1921        7.8    13.4    21.2    14.4
1922        7.6    11.6    17.7    12.2
1923        8.1    11.3    19.1    11.8
1924        6.5    11.6    18.3    12.9
1925        8.2    11.7    20.3    11.8
1926        7.2    12.3    19.8    12.7
1927        6.8    12.7    18.4    12.8
1928        7.0    12.4    19.0    13.7
1929        4.2    13.0    19.4    14.4
1930        7.0    11.6    19.6    13.3
1931        6.5    11.5    18.3    12.8
1932        7.5    11.0    20.0    12.7
1933        6.8    13.8    21.9    13.6
1934        6.0    12.0    21.1    13.7
1935        8.4    12.2    21.0    13.3
1936        5.6    12.1    19.3    13.1
1937        8.0    11.9    20.0    13.2
1938        7.2    13.7    19.4    14.6
1939        7.4    12.6    19.6    13.7
1940        4.1    13.5    20.4    13.5
1941        5.1    10.8    20.1    13.9
1942        4.9    12.7    19.9    13.1
1943        8.5    14.1    20.0    13.6
1944        6.9    13.4    19.7    12.6
1945        6.4    14.6    19.8    14.3
1946        7.1    13.1    18.8    13.5
1947        3.6    12.5    21.7    14.7
1948        7.6    14.5    18.7    13.8
1949        8.7    13.0    21.7    15.0
1950        7.9    12.8    20.1    12.4
1951        5.3    10.7    19.4    14.0
1952        6.8    13.9    19.9    11.1
1953        6.2    13.0    19.5    14.2
1954        6.7    12.2    17.6    13.9
1955        6.1    11.4    21.4    13.9
1956        6.0    12.8    18.0    13.2
1957        8.2    13.6    20.2    13.0
1958        7.1    11.2    19.3    13.8
1959        6.3    14.1    21.5    15.9
1960        7.4    13.4    19.8    13.5
1961        7.6    14.0    19.5    14.3
1962        6.5    10.7    18.6    12.9
1963        2.5    12.3    19.1    14.1
1964        6.2    12.4    19.3    14.1
1965        6.0    12.4    18.5    12.7
1966        6.9    11.9    19.1    13.2
1967        7.8    11.9    19.8    13.0
1968        6.1    12.1    19.1    13.8
1969        5.5    11.1    20.2    14.1
1970        6.0    11.6    20.4    14.4
1971        7.0    12.1    19.0    14.5
1972        7.3    12.1    18.2    13.1
1973        7.5    12.3    20.2    13.4
1974        8.3    12.5    19.0    12.0
1975        9.2    11.3    22.1    13.6
1976        7.7    12.3    23.5    13.3
1977        5.9    12.1    18.6    13.7
1978        6.6    12.2    18.4    15.0
1979        4.3    11.0    19.2    14.2
1980        7.4    12.4    18.7    13.3
1981        7.4    12.5    19.1    13.8
1982        5.5    13.1    20.1    14.1
1983        7.0    11.4    22.0    13.7
1984        7.1    11.8    21.5    14.0
1985        5.6    11.7    18.4    13.3
1986        5.3    11.0    18.9    13.8
1987        6.4    12.0    18.7    13.2
1988        7.8    12.7    18.7    13.2
1989        9.3    13.3    21.6    14.4
1990        9.0    14.4    21.1    14.0
1991        6.0    12.6    19.9    14.2
1992        7.4    14.0    20.0    12.8
1993        7.4    13.0    19.2    11.7
1994        7.4    12.4    20.7    14.1
1995        8.8    13.0    22.5    14.9
1996        5.3    11.2    20.7    13.9
1997        6.7    14.0    21.0    14.7
1998        9.0    13.5    19.3    13.8
1999        8.4    13.9    20.6    15.0
2000        8.4    13.1    20.1    14.0
2001        7.2    12.5    20.6    14.7
2002        8.4    13.9    20.1    14.6
2003        7.5    14.6    22.3    14.8
2004        8.0    13.4    20.6    14.2
2005        7.9    13.1    20.8    15.1
2006        6.8    12.4    22.2    16.2
2007        9.1    14.5    19.3    14.2
2008        8.9    13.1    19.4    13.4
2009        6.3    14.1    20.2    14.8
2010        5.0    13.1    20.4    13.1
2011        5.9    14.9    19.3    16.0
2012        8.0    13.4    19.2    13.3
2013        6.4    10.8    21.2    14.0
2014        8.9    14.2    20.7    15.5
2015        7.5    13.0    19.9    14.7
2016        9.6    12.9    20.7    14.4
2017        8.2    14.6    20.5    14.3
