Year        DJF     MAM     JJA     SON

1878      -99.9     5.0    11.5     5.7
1879       -1.6     2.8    10.4     5.7
1880       -0.1     4.1    11.4     5.6
1881       -0.2     3.8    10.4     6.4
1882        2.7     4.8    10.3     5.9
1883        2.2     2.5    10.2     6.4
1884        3.0     4.1    11.0     6.2
1885        1.9     2.9     9.8     5.3
1886        0.0     3.6    10.6     7.5
1887       -0.1     2.3    10.5     4.5
1888        0.1     3.0     9.8     5.9
1889        1.1     4.6    10.7     6.3
1890        1.2     4.2    10.0     6.2
1891       -1.5     2.7    10.6     6.4
1892        0.6     2.6    10.1     5.4
1893        0.4     4.6    11.8     5.7
1894        1.7     4.2    10.8     6.7
1895       -1.5     4.4    10.8     6.2
1896        2.0     5.0    11.0     5.1
1897        1.6     4.2    11.5     6.5
1898        2.9     3.9    10.6     7.8
1899        3.0     3.6    11.7     6.6
1900        0.6     3.6    11.4     6.8
1901        1.9     3.8    11.2     6.0
1902        0.7     3.8    10.2     6.7
1903        3.0     4.5    10.3     7.0
1904        1.5     4.5    10.7     5.6
1905        1.7     4.5    11.3     4.9
1906        1.9     3.6    10.9     7.1
1907        0.5     3.9     9.8     6.4
1908        1.5     3.9    10.4     7.4
1909        0.7     3.2    10.0     5.9
1910        1.4     4.2    10.9     5.5
1911        2.5     4.7    11.8     6.1
1912        2.5     5.3    10.8     5.0
1913        2.6     4.8    10.4     7.8
1914        2.6     4.6    11.0     6.3
1915        1.9     3.7    10.3     4.7
1916        2.8     3.8    10.2     6.9
1917       -0.9     2.9    11.2     6.3
1918        1.5     4.3    10.3     5.7
1919        1.5     4.0    10.1     4.2
1920        2.6     5.5    10.2     6.6
1921        3.1     4.6    11.2     6.7
1922        2.2     3.6     9.7     5.3
1923        3.2     4.2    11.0     5.2
1924        1.4     3.4    10.5     7.4
1925        3.3     4.3    11.1     5.2
1926        2.2     4.9    11.4     6.2
1927        1.7     4.9    11.0     6.7
1928        1.8     4.7    10.5     6.7
1929       -0.7     3.2    10.4     6.7
1930        2.3     4.6    11.2     7.0
1931        1.2     4.0    11.1     6.0
1932        2.2     3.8    11.6     6.1
1933        1.4     5.0    12.1     6.8
1934        0.3     4.0    11.2     7.1
1935        3.8     4.3    11.6     6.7
1936        0.4     4.5    11.4     6.5
1937        2.7     4.8    11.4     6.1
1938        2.0     4.5    11.2     7.8
1939        2.1     4.8    11.2     7.0
1940       -1.2     4.7    11.0     6.1
1941        0.1     3.1    11.3     7.1
1942       -0.4     4.3    11.1     6.2
1943        3.3     5.1    11.2     6.5
1944        1.7     4.5    11.6     6.1
1945        1.0     5.6    11.6     8.1
1946        1.9     4.1    10.6     7.7
1947       -1.3     4.6    12.3     7.1
1948        2.5     4.7    10.9     7.0
1949        2.5     4.5    11.3     8.1
1950        2.3     4.8    11.7     6.4
1951        0.5     3.3    10.7     7.3
1952        0.9     5.8    11.5     4.7
1953        0.8     4.0    11.2     7.2
1954        1.6     4.2    10.6     7.1
1955        1.0     3.4    11.6     6.4
1956       -0.0     3.7    10.3     6.6
1957        2.8     5.4    11.1     6.8
1958        1.3     3.6    11.2     7.7
1959        0.8     5.6    11.7     7.2
1960        1.8     5.3    11.0     6.9
1961        2.2     5.5    10.5     7.1
1962        0.8     3.1    10.3     6.1
1963       -3.1     4.6    10.5     7.4
1964        0.8     5.1    10.9     6.1
1965        0.7     4.2    10.5     5.8
1966        1.9     4.6    10.9     6.5
1967        2.4     4.9    11.1     6.8
1968        0.9     4.1    11.0     8.2
1969        0.8     3.6    11.2     7.4
1970        0.6     4.0    11.4     7.5
1971        1.8     4.2    10.9     6.3
1972        2.5     4.7    10.1     6.0
1973        2.2     4.1    11.1     6.1
1974        2.6     4.1    10.5     5.9
1975        3.7     4.1    11.7     6.1
1976        2.8     4.3    12.1     6.8
1977        0.8     4.4    10.3     7.4
1978        1.6     4.4    10.6     8.1
1979       -1.1     4.0    10.8     6.8
1980        1.9     4.1    10.8     7.0
1981        1.6     5.4    10.9     6.8
1982       -0.4     4.4    11.7     7.3
1983        1.5     4.2    12.1     7.4
1984        1.5     3.3    11.2     7.8
1985       -0.1     4.2    10.5     6.4
1986        0.5     3.5    10.6     6.2
1987        0.7     4.3    10.9     6.7
1988        2.7     4.9    10.8     6.0
1989        3.7     4.7    11.3     7.3
1990        3.5     4.9    11.3     7.4
1991        0.2     5.1    11.1     6.9
1992        1.7     5.8    11.4     6.3
1993        2.0     5.3    10.6     5.2
1994        2.0     5.2    11.6     7.9
1995        2.9     4.4    12.1     8.0
1996        0.7     3.6    10.8     6.9
1997        1.4     5.1    12.0     7.3
1998        3.1     5.6    11.1     7.3
1999        2.5     6.0    11.2     7.8
2000        2.3     5.2    11.3     7.4
2001        1.7     4.5    11.6     8.1
2002        2.3     5.3    11.5     7.4
2003        2.0     4.9    12.4     6.3
2004        2.3     5.2    11.9     7.9
2005        2.6     5.2    11.5     7.9
2006        1.5     4.8    12.3     9.1
2007        3.8     5.7    11.2     7.1
2008        2.4     5.1    11.5     6.8
2009        0.8     5.3    11.5     8.2
2010       -0.1     4.0    11.3     6.4
2011        0.4     5.6    10.3     8.9
2012        2.2     4.7    11.2     6.4
2013        1.2     2.9    11.4     7.5
2014        3.2     5.9    11.2     8.6
2015        1.6     4.4    10.6     7.4
2016        3.7     4.3    12.0     7.2
2017        2.5     5.9    11.8     7.5
